ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,907,12.09.2008,A,"Bundes-Verfassungsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIII/A/907,ANTR,SELBST,"[""F""]","[""Europäische Union"",""Inneres und Recht""]","[""BUNDESVERFASSUNG"",""EUROPÄISCHE INTEGRATION"",""EUROPÄISCHE INTEGRATION""]","[""Europäische Union"",""Verfassung""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/907/imfname_141472.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/907/fname_141580.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/907/fnameorig_141580.html', 'type': 'HTML'}]"
A,914,12.09.2008,A(E),Entlastung der Wirtschaftstreibenden,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIII/A/914,ANTR,SELBST,"[""F""]","[""Budget und Finanzen"",""Wirtschaft""]","[""HANDEL, GEWERBE UND INDUSTRIE"",""HANDEL, GEWERBE UND INDUSTRIE"",""STEUERN UND GEBÜHREN""]","[""Handel"",""Industrie"",""Steuerwesen"",""Unternehmen und Wettbewerb""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXIII/A/914/imfname_141480.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIII/A/914/fname_141604.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXIII/A/914/fnameorig_141604.html', 'type': 'HTML'}]"
A,916,12.09.2008,A,"Allgemeines Sozialversicherungsgesetz, Gewerbliches Sozialversicherungsgesetz u.a., Änderung",A,Selbständiger Antrag,/gegenstand/XXIII/A/916,ANTR,SELBST,"[""B""]","[""Soziales""]","[""SOZIALVERSICHERUNG I""]","[""soziale Sicherheit""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/916/imfname_141478.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/916/fname_141581.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/916/fnameorig_141581.html', 'type': 'HTML'}]"
A,917,12.09.2008,A,"Arbeiterkammergesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIII/A/917,ANTR,SELBST,"[""B""]","[""Arbeit""]","[""ARBEITERKAMMERN""]","[""Berufsverband""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/917/imfname_141482.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/917/fname_141582.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/917/fnameorig_141582.html', 'type': 'HTML'}]"
A,923,12.09.2008,A,Steuerbonus für das Jahr 2008,A,Selbständiger Antrag,/gegenstand/XXIII/A/923,ANTR,SELBST,"[""B""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/923/imfname_141490.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/923/fname_141594.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/923/fnameorig_141594.html', 'type': 'HTML'}]"
A,925,12.09.2008,A,"Einkommensteuergesetz 1988, Änderung",A,Selbständiger Antrag,/gegenstand/XXIII/A/925,ANTR,SELBST,"[""B""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXIII/A/925/imfname_141492.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/925/fname_141596.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXIII/A/925/fnameorig_141596.html', 'type': 'HTML'}]"
AA,2,15.12.2006,AA,Sozialrechts-Änderungsgesetz 2007 – SRÄG 2007,AA,Abänderungsantrag,/gegenstand/XXIII/AA/2,ANTR,AA,"[""F""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/2/imfname_071466.pdf', 'type': 'PDF'}]"
AA,10,29.03.2007,AA,Produktpirateriegesetz 2004 (i.d.F. BGBl. I Nr. 56/2004),AA,Abänderungsantrag,/gegenstand/XXIII/AA/10,ANTR,AA,"[""V"",""S"",""B"",""F"",""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/10/imfname_075284.pdf', 'type': 'PDF'}]"
AA,28,06.06.2007,AA,Bundespflegegeldgesetz,AA,Abänderungsantrag,/gegenstand/XXIII/AA/28,ANTR,AA,"[""B""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/28/imfname_080238.pdf', 'type': 'PDF'}]"
AA,31,06.06.2007,AA,Bauarbeiter-Urlaubs- und Abfertigungsgesetz und Bauarbeiter-Schlechtwetterentschädigungsgesetz 1957,AA,Abänderungsantrag,/gegenstand/XXIII/AA/31,ANTR,AA,"[""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXIII/AA/31/imfname_080240.pdf', 'type': 'PDF'}]"
