ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
AA,177,20.10.2005,AA,Zukunftsfonds-Gesetz) (Stipendienstiftungs-Gesetz,AA,Abänderungsantrag,/gegenstand/XXII/AA/177,ANTR,AA,"[""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/177/imfname_050954.pdf', 'type': 'PDF'}]"
AA,181,06.12.2005,AA,Verwertungsgesellschaftenrechtsänderungsgesetz 2005 - VerwGesRÄG 2005,AA,Abänderungsantrag,/gegenstand/XXII/AA/181,ANTR,AA,"[""S""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/181/imfname_054048.pdf', 'type': 'PDF'}]"
AA,185,06.12.2005,AA,Bundesvergabegesetz 2006 - BVergG 2006,AA,Abänderungsantrag,/gegenstand/XXII/AA/185,ANTR,AA,"[""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/185/imfname_054052.pdf', 'type': 'PDF'}]"
AA,186,06.12.2005,AA,Niederlassungs- und Aufenthaltsgesetz,AA,Abänderungsantrag,/gegenstand/XXII/AA/186,ANTR,AA,"[""F"",""V""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/186/imfname_054051.pdf', 'type': 'PDF'}]"
AA,208,29.03.2006,AA,Kraftfahrgesetz (27. KFG-Novelle),AA,Abänderungsantrag,/gegenstand/XXII/AA/208,ANTR,AA,"[""S"",""V"",""F""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/208/imfname_060250.pdf', 'type': 'PDF'}]"
AA,214,27.04.2006,AA,Anti-Doping-Bundesgesetz,AA,Abänderungsantrag,/gegenstand/XXII/AA/214,ANTR,AA,"[""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/214/imfname_062200.pdf', 'type': 'PDF'}]"
AA,223,23.05.2006,AA,Gesundheitsrechtsänderungsgesetz 2006 – GRÄG 2006,AA,Abänderungsantrag,/gegenstand/XXII/AA/223,ANTR,AA,"[""V"",""F""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/223/imfname_064094.pdf', 'type': 'PDF'}]"
AA,224,23.05.2006,AA,Gesundheits- und Ernährungssicherheitsgesetz – GESG und die veterinärmedizinischen Bundesanstalten,AA,Abänderungsantrag,/gegenstand/XXII/AA/224,ANTR,AA,"[""V"",""F""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/224/imfname_064097.pdf', 'type': 'PDF'}]"
AA,225,23.05.2006,AA,"Eisenbahngesetz 1957, Bundesbahngesetz und Bundesgesetz zur Errichtung einer ""Brenner Basistunnel Aktiengesellschaft""",AA,Abänderungsantrag,/gegenstand/XXII/AA/225,ANTR,AA,"[""G""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/225/imfname_064096.pdf', 'type': 'PDF'}]"
AA,226,24.05.2006,AA,Sachwalterrechts-Änderungsgesetz 2006 – SWRÄG 2006,AA,Abänderungsantrag,/gegenstand/XXII/AA/226,ANTR,AA,"[""S""]",,,,"[{'title': 'Abänderungsantrag gescannt', 'link': '/dokument/XXII/AA/226/imfname_064373.pdf', 'type': 'PDF'}]"
