ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,150,21.03.1996,A,"Familienlastenausgleichsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/150,ANTR,SELBST,"[""F""]","[""Familie und Generationen""]","[""FAMILIENLASTENAUSGLEICH""]","[""Familienleistungsausgleich""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/150/fname_124486.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/150/fnameorig_124486.html', 'type': 'HTML'}]"
A,163,19.04.1996,A,Verbot von Anti-Personen-Minen,A,Selbständiger Antrag,/gegenstand/XX/A/163,ANTR,SELBST,"[""S"",""V""]","[""Wirtschaft""]","[""HANDEL, GEWERBE UND INDUSTRIE""]","[""Handel"",""Industrie"",""Unternehmen und Wettbewerb""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/163/fname_124501.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/163/fnameorig_124501.html', 'type': 'HTML'}]"
A,173,25.04.1996,A,"Schulzeitgesetz, Änderung (zurückgezogen)",A,Selbständiger Antrag,/gegenstand/XX/A/173,ANTR,SELBST,"[""V""]","[""Bildung""]","[""BILDUNGSWESEN VIII"",""GESCHÄFTSORDNUNG DES NATIONALRATES"",""GO-NR SONSTIGE GESCHÄFTSORDNUNGSANGELEGENHEITEN""]","[""Bildung"",""Organisation des Unterrichtswesens""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/173/fname_124511.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/173/fnameorig_124511.html', 'type': 'HTML'}]"
A,187,07.05.1996,A(E),Haftungsregeln für Freisetzungen gentechnisch veränderter Organismen (zurückgezogen),A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/187,ANTR,SELBST,"[""L""]","[""Innovation, Technologie und Forschung""]","[""GESCHÄFTSORDNUNG DES NATIONALRATES"",""WISSENSCHAFT UND FORSCHUNG"",""GO-NR SONSTIGE GESCHÄFTSORDNUNGSANGELEGENHEITEN""]","[""Forschung und geistiges Eigentum"",""Wissenschaften""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/187/fname_124527.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/187/fnameorig_124527.html', 'type': 'HTML'}]"
A,197,22.05.1996,A(E),Legalisierung der Benützung der Straßenfahrbahn durch Inline-Skater,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/197,ANTR,SELBST,"[""G""]","[""Verkehr und Infrastruktur""]","[""VERKEHR I""]","[""Straßenverkehr""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/197/fname_124537.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/197/fnameorig_124537.html', 'type': 'HTML'}]"
A,206,22.05.1996,A,"Lebensmittelgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/206,ANTR,SELBST,"[""G""]","[""Gesundheit und Ernährung""]","[""LEBENSMITTEL""]","[""Agrarerzeugnisse und Lebensmittel""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/206/fname_124538.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/206/fnameorig_124538.html', 'type': 'HTML'}]"
A,209,22.05.1996,A,UVP-Gesetz,A,Selbständiger Antrag,/gegenstand/XX/A/209,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/209/fname_124544.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/209/fnameorig_124544.html', 'type': 'HTML'}]"
A,211,23.05.1996,A(E),Maßnahmen zur weiteren Verringerung der Ozonvorläufersubstanzen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/211,ANTR,SELBST,"[""S"",""V""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/211/fname_124551.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/211/fnameorig_124551.html', 'type': 'HTML'}]"
A,215,23.05.1996,A,Einspeisungsgesetz 1996,A,Selbständiger Antrag,/gegenstand/XX/A/215,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie""]","[""ELEKTRIZITÄT"",""ERSTE LESUNGEN""]","[""Elektrizitätsindustrie"",""Gesetzgebungsverfahren""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/215/fname_124547.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/215/fnameorig_124547.html', 'type': 'HTML'}]"
A,219,23.05.1996,A(E),Ungleichbehandlung von Studierenden Studienförderungsgesetzes,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/219,ANTR,SELBST,"[""F""]","[""Bildung""]","[""BILDUNGSWESEN VI""]","[""Ausbildungsbeihilfe""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/219/fname_124553.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/219/fnameorig_124553.html', 'type': 'HTML'}]"
A,223,13.06.1996,A(E),Umfassende Erweiterung der Liste der Berufskrankheiten,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/223,ANTR,SELBST,"[""G""]","[""Soziales""]","[""SOZIALVERSICHERUNG I""]","[""soziale Sicherheit""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/223/fname_124559.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/223/fnameorig_124559.html', 'type': 'HTML'}]"
A,232,13.06.1996,A(E),Verbesserung der Tierschutzstandards,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/232,ANTR,SELBST,"[""V""]","[""Klima, Umwelt und Energie"",""Land- und Forstwirtschaft""]","[""VETERINÄRWESEN UND TIERSCHUTZ""]","[""Tiermedizin"",""Tierschutz""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/232/fname_124571.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/232/fnameorig_124571.html', 'type': 'HTML'}]"
A,236,18.06.1996,A(E),Wirksame Maßnahmen zur Einschränkung des Walfanges,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/236,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/236/fname_124576.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/236/fnameorig_124576.html', 'type': 'HTML'}]"
A,245,28.06.1996,A,Bezügegereformgesetz,A,Selbständiger Antrag,/gegenstand/XX/A/245,ANTR,SELBST,"[""V"",""S""]","[""Inneres und Recht""]","[""BUNDESVERFASSUNG"",""ABSTIMMUNGEN, NAMENTLICHE""]","[""namentliche Abstimmung"",""Verfassung""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/245/fname_124577.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/245/fnameorig_124577.html', 'type': 'HTML'}]"
A,255,28.06.1996,A,"Garantiegesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/255,ANTR,SELBST,"[""S"",""V""]","[""Budget und Finanzen""]","[""KREDITWESEN""]","[""Finanzwesen""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/255/fname_124587.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/255/fnameorig_124587.html', 'type': 'HTML'}]"
A,263,09.07.1996,A(E),"Ungleichbehandlung von Preisen, nach dem Filmförderungsgesetz",A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/263,ANTR,SELBST,"[""G""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/263/fname_124597.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/263/fnameorig_124597.html', 'type': 'HTML'}]"
A,273,11.07.1996,A,"Bundes-Verfassungsgesetz, Wehrgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/273,ANTR,SELBST,"[""G""]","[""Inneres und Recht""]","[""BUNDESVERFASSUNG"",""ERSTE LESUNGEN""]","[""Gesetzgebungsverfahren"",""Verfassung""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/273/fname_124605.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/273/fnameorig_124605.html', 'type': 'HTML'}]"
A,280,19.09.1996,A(E),Schutz unserer Kinder  - Dringlicher Antrag,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/280,ANTR,SELBST,"[""V"",""S""]","[""Inneres und Recht""]","[""STRAFRECHT"",""ANTRÄGE, DRINGLICHE""]","[""Parlamentsdebatte"",""Strafrecht""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/280/fname_124618.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/280/fnameorig_124618.html', 'type': 'HTML'}]"
