ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
AA,17,12.05.2000,AA,Bundesfinanzgesetz 2000,AA,Abänderungsantrag,/gegenstand/XXI/AA/17,ANTR,AA,"[""S""]",,,,[]
AA,19,17.05.2000,AA,"Einkommensteuergesetz 1988, Finanzausgleichsgesetz 1997",AA,Abänderungsantrag,/gegenstand/XXI/AA/19,ANTR,AA,"[""S""]",,"[""ABSTIMMUNGEN, NAMENTLICHE""]","[""namentliche Abstimmung""]",[]
AA,30,06.06.2000,AA,Schulunterrichtsgesetz geändert wird,AA,Abänderungsantrag,/gegenstand/XXI/AA/30,ANTR,AA,"[""S""]",,,,[]
AA,44,05.07.2000,AA,Pensionsreformgesetz 2000,AA,Abänderungsantrag,/gegenstand/XXI/AA/44,ANTR,AA,"[""G""]",,,,[]
AA,45,05.07.2000,AA,Pensionsreformgesetz 2000,AA,Abänderungsantrag,/gegenstand/XXI/AA/45,ANTR,AA,"[""F"",""V""]",,,,[]
AA,50,05.07.2000,AA,"(Gaswirtschaftsgesetz - GWG),",AA,Abänderungsantrag,/gegenstand/XXI/AA/50,ANTR,AA,"[""S"",""V"",""F""]",,,,[]
AA,51,06.07.2000,AA,Darlehen für MTD-Ausbildung - verbesserte Arbeitsmöglichkeiten,AA,Abänderungsantrag,/gegenstand/XXI/AA/51,ANTR,AA,"[""S""]",,,,[]
AA,54,06.07.2000,AA,"Bundesgesetz über die Prüfung der Umweltverträglichkeit, Bürgerbeteiligung, Änderung",AA,Abänderungsantrag,/gegenstand/XXI/AA/54,ANTR,AA,"[""S""]",,,,[]
AA,55,06.07.2000,AA,"über ein Bundesgesetz, mit dem das Umweltförderungsgesetz geändert wird",AA,Abänderungsantrag,/gegenstand/XXI/AA/55,ANTR,AA,"[""V"",""F""]",,,,[]
AA,68,22.11.2000,AA,"Strafprozeßordnung 1975,",AA,Abänderungsantrag,/gegenstand/XXI/AA/68,ANTR,AA,"[""G""]",,,,[]
AA,81,24.11.2000,AA,Wehrgesetz 1990 geändert wird,AA,Abänderungsantrag,/gegenstand/XXI/AA/81,ANTR,AA,"[""V"",""F""]",,,,[]
AA,85,05.12.2000,AA,Bundesfinanzgesetz 2001,AA,Abänderungsantrag,/gegenstand/XXI/AA/85,ANTR,AA,"[""V"",""F""]",,,,[]
AA,94,14.12.2000,AA,"Kapitalmarktoffensive-Gesetz, KMOG",AA,Abänderungsantrag,/gegenstand/XXI/AA/94,ANTR,AA,"[""F"",""V""]",,,,[]
AA,96,14.12.2000,AA,Rechnungshofes Durchführung besonderer Akte der Gebarungsüberprüfung,AA,Abänderungsantrag,/gegenstand/XXI/AA/96,ANTR,AA,"[""F"",""V""]",,,,[]
AA,100,01.02.2001,AA,"Organisation der Universitäten, Hochschul-Taxengesetz 1972",AA,Abänderungsantrag,/gegenstand/XXI/AA/100,ANTR,AA,"[""V"",""S"",""F"",""G""]",,,,[]
AA,104,02.03.2001,AA,Heeresgebührengesetz 2001 - HGG 2001,AA,Abänderungsantrag,/gegenstand/XXI/AA/104,ANTR,AA,"[""V"",""F""]",,,,[]
AA,117,06.06.2001,AA,Versorgungsrechts-Änderungsgesetz 2002 - VRÄG 2002,AA,Abänderungsantrag,/gegenstand/XXI/AA/117,ANTR,AA,"[""G""]",,,,[]
AA,119,06.06.2001,AA,Fleischuntersuchungsgesetz,AA,Abänderungsantrag,/gegenstand/XXI/AA/119,ANTR,AA,"[""S""]",,,,[]
AA,121,06.06.2001,AA,Euro-Steuerumstellungsgesetz - EuroStUG 2001,AA,Abänderungsantrag,/gegenstand/XXI/AA/121,ANTR,AA,"[""F"",""V""]",,,,[]
AA,122,06.06.2001,AA,Immissionsschutzgesetz-Luft Smogalarmgesetz,AA,Abänderungsantrag,/gegenstand/XXI/AA/122,ANTR,AA,"[""S""]",,,,[]
AA,133,04.07.2001,AA,Pensionsreformgesetz 2001,AA,Abänderungsantrag,/gegenstand/XXI/AA/133,ANTR,AA,"[""S""]",,,,[]
AA,134,04.07.2001,AA,Pensionsreformgesetz 2001,AA,Abänderungsantrag,/gegenstand/XXI/AA/134,ANTR,AA,"[""S""]",,,,[]
AA,139,05.07.2001,AA,"(Rundfunkgesetz-RFG), Arbeitsverfassungsgesetz 1974,",AA,Abänderungsantrag,/gegenstand/XXI/AA/139,ANTR,AA,"[""G""]",,,,[]
AA,141,05.07.2001,AA,"(Rundfunkgesetz-RFG), Arbeitsverfassungsgesetz 1974,",AA,Abänderungsantrag,/gegenstand/XXI/AA/141,ANTR,AA,"[""S"",""G""]",,,,[]
AA,142,05.07.2001,AA,Dienstrechts-Novelle 2001 - Universitäten,AA,Abänderungsantrag,/gegenstand/XXI/AA/142,ANTR,AA,"[""S""]",,,,[]
AA,171,21.11.2001,AA,Deregulierungsgesetz 2001,AA,Abänderungsantrag,/gegenstand/XXI/AA/171,ANTR,AA,"[""F"",""V""]",,,,[]
AA,177,22.11.2001,AA,Budgetüberschreitungsgesetz 2001 - BÜG 2001,AA,Abänderungsantrag,/gegenstand/XXI/AA/177,ANTR,AA,"[""G""]",,,,[]
AA,178,22.11.2001,AA,"Kraftfahrzeug-Haftpflichtversicherungsgesetz 1994,",AA,Abänderungsantrag,/gegenstand/XXI/AA/178,ANTR,AA,"[""S""]",,,,[]
AA,183,23.11.2001,AA,59. Novelle zum ASVG,AA,Abänderungsantrag,/gegenstand/XXI/AA/183,ANTR,AA,"[""V"",""F""]",,,,[]
AA,200,28.02.2002,AA,Fachhochschul-Studiengesetz-FHStG,AA,Abänderungsantrag,/gegenstand/XXI/AA/200,ANTR,AA,"[""V"",""F""]",,,,[]
AA,204,20.03.2002,AA,Konjunkturbelebungsgesetz 2002,AA,Abänderungsantrag,/gegenstand/XXI/AA/204,ANTR,AA,"[""G""]",,,,[]
A,562,23.11.2001,A(E),Schutz der österreichischen Bevölkerung vor übertragbaren Krankheiten,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/562,ANTR,SELBST,"[""S""]","[""Gesundheit und Ernährung""]","[""GESUNDHEIT""]","[""Gesundheit""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/562/fname_600432.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/562/fnameorig_600432.html', 'type': 'HTML'}]"
