Datum	F	G	S	V
2001-02-01	Elektrizitäts- und Kernkraftindustrie|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|Tiermedizin|Tierschutz|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Wahl	Frau|Gleichbehandlung|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|Elektrizitäts- und Kernkraftindustrie|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz	Informatik|Information und Informationsverarbeitung|Abfall|Abfallwirtschaft|Steuerwesen|Arbeitslosenversicherung|Arbeitslosenversicherung|Elektrizitäts- und Kernkraftindustrie|Arbeitslosenversicherung|Arbeitslosenversicherung|Arbeitslosenversicherung|Straßenverkehr|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Beschäftigung und Arbeitsbedingungen|Tiermedizin|Tierschutz|Gesundheit|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Wahl|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit	Elektrizitäts- und Kernkraftindustrie|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|Tiermedizin|Tierschutz|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Wahl
2001-02-27	Straßenverkehr|Umwelt|Exekutive|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Straßen- und Brückenbau|Schienentransport	Straßenverkehr|Umwelt	Straßenverkehr|Umwelt	Straßenverkehr|Umwelt|Exekutive|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Straßen- und Brückenbau|Schienentransport
2001-02-28	Primarstufe	Primarstufe	Primarstufe	Primarstufe
2001-03-01	soziale Sicherheit|Sozialpolitik|Steuerwesen	Europäische Union|Land- und Forstwirtschaft, Fischerei|Wasserbewirtschaftung|Straßenverkehr	Steuerwesen|Familie|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Verwaltungsorganisation|Steuerwesen|Exekutive|Land- und Forstwirtschaft, Fischerei	soziale Sicherheit|Sozialpolitik|Steuerwesen
2001-03-02	direkt gewählte Kammer|Exekutive|namentliche Abstimmung|soziale Sicherheit	Bildung|Organisation des Unterrichtswesens	Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Sozialpolitik|Handel|Industrie|Unternehmen und Wettbewerb|namentliche Abstimmung|Parlamentsdebatte|soziale Sicherheit|Sozialpolitik|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Exekutive|Misstrauensantrag	direkt gewählte Kammer|Exekutive|namentliche Abstimmung|soziale Sicherheit
2001-03-06	internationales Arbeitsrecht			internationales Arbeitsrecht
2001-03-09			Geschäftsordnung des Parlaments	
2001-03-12	Beschäftigung und Arbeitsbedingungen|Bildung|Organisation des Unterrichtswesens	Bildung|Organisation des Unterrichtswesens|Parlamentsdebatte|Elektrizitätsindustrie|direkt gewählte Kammer|Gesundheit	Bildung|Organisation des Unterrichtswesens|Gesundheit|soziale Sicherheit|soziale Sicherheit|Steuerwesen|Wohnungspolitik|Gesundheit|Hochschulausbildung|Grenze|Verteidigung|Bildung|Erwachsenenbildung|Organisation des Unterrichtswesens|Steuerwesen|Hochschulausbildung	Beschäftigung und Arbeitsbedingungen|Bildung|Organisation des Unterrichtswesens
2001-03-13	Bürgerliches Recht|Tourismus			Bürgerliches Recht|Tourismus
2001-03-15	Sport			Sport
2001-03-20	öffentliche Sicherheit|Gesundheit|soziale Sicherheit|Menschenrechte|öffentliche Sicherheit	Elektrizitätsindustrie|Menschenrechte|Religion|ausländischer Staatsangehöriger|Religion|öffentliche Sicherheit|Religion	Gesundheit|Parlamentsdebatte|soziale Sicherheit|Steuerwesen|öffentliche Sicherheit|Religion|ausländischer Staatsangehöriger|Exekutive|Öffentliche Finanzen und Haushaltspolitik|öffentliche Sicherheit|soziale Sicherheit	öffentliche Sicherheit|Gesundheit|soziale Sicherheit|Menschenrechte|öffentliche Sicherheit
2001-03-22	Agrarerzeugnisse und Lebensmittel			Agrarerzeugnisse und Lebensmittel
2001-03-27	namentliche Abstimmung|soziale Sicherheit			namentliche Abstimmung|soziale Sicherheit
2001-03-28		Bauindustrie und öffentliches Bauwesen|Baupolitik		
2001-03-29			Haushaltskontrolle|öffentliche Verwaltung|öffentlicher Dienst	
2001-03-30			ethnische Gruppe	
2001-04-02	Ausbildungsbeihilfe	Ausbildungsbeihilfe|soziale Sicherheit|Hochschulausbildung	namentliche Abstimmung|Ausbildungsbeihilfe	Ausbildungsbeihilfe
2001-04-03	Verwaltungsorganisation|Umwelt|Verwaltungsorganisation|Opferhilfe|Strafrecht|öffentliche Verwaltung|öffentlicher Dienst	Opferhilfe|Strafrecht	Sekundarstufe|Land- und Forstwirtschaft, Fischerei|Umwelt|Wasser|Wasserbewirtschaftung|Flüchtling|Geschäftsordnung des Parlaments|Verfassung|Gerichtswesen|Gesundheit|Menschenrechte|öffentliche Verwaltung|öffentlicher Dienst|Wasserbewirtschaftung|Land- und Forstwirtschaft, Fischerei|Handel|Industrie|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|öffentliche Verwaltung|öffentlicher Dienst|Opferhilfe|Strafrecht|öffentliche Verwaltung|öffentlicher Dienst	Verwaltungsorganisation|Umwelt|Verwaltungsorganisation|Opferhilfe|Strafrecht|öffentliche Verwaltung|öffentlicher Dienst
2001-04-04		Umwelt|Straßenverkehr|Straßenverkehr|soziale Sicherheit	Gesetzgebungsverfahren|Gesundheit|Primarstufe|ausländischer Staatsangehöriger|Gesundheit|Öffentliche Finanzen und Haushaltspolitik	
2001-05-02	Tiermedizin|Tierschutz	Tiermedizin|Tierschutz	Tiermedizin|Tierschutz	Tiermedizin|Tierschutz
2001-05-03	Flüchtling			Flüchtling
2001-05-10	Abfall|Abfallwirtschaft|Behinderter|Politik der Zusammenarbeit|öffentliche Verwaltung|öffentlicher Dienst	Straßenverkehr|Finanzwesen|Politik der Zusammenarbeit|Tiermedizin|Tierschutz|Parlamentsdebatte|Presse|ethnische Gruppe|Exekutive|Misstrauensantrag	Arbeitsrecht|Presse|Neutralität|Verteidigung|ethnische Gruppe	Abfall|Abfallwirtschaft|Behinderter|Politik der Zusammenarbeit|öffentliche Verwaltung|öffentlicher Dienst
2001-05-11		Post- und Fernmeldewesen	Hochschulausbildung|Parlamentsdebatte|Hochschulausbildung|Gesundheit|Gesundheit|Gesetzgebungsverfahren|Straßenverkehr|Gesundheit|Bauindustrie und öffentliches Bauwesen|Baupolitik|Hochschulausbildung	
2001-05-16	Bildung|Bürgerliches Recht|junger Mensch|Organisation des Unterrichtswesens			Bildung|Bürgerliches Recht|junger Mensch|Organisation des Unterrichtswesens
2001-05-31	Abfall|Abfallwirtschaft			Abfall|Abfallwirtschaft
2001-06-06	Land- und Forstwirtschaft, Fischerei|Elektrizitäts- und Kernkraftindustrie	Unternehmensarten|Forschung und geistiges Eigentum|Wissenschaften|Elektrizitäts- und Kernkraftindustrie|Europäische Union|soziale Sicherheit|Unternehmensarten|Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie	Steuerwesen|öffentliche Verwaltung|öffentlicher Dienst|Behinderter|Steuerwesen|soziale Sicherheit|Arbeitsrecht|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Elektrizitäts- und Kernkraftindustrie|Land- und Forstwirtschaft, Fischerei|Elektrizitäts- und Kernkraftindustrie	Land- und Forstwirtschaft, Fischerei|Elektrizitäts- und Kernkraftindustrie
2001-06-07	Verfassung|Sekundarstufe|Primarstufe	Verwaltungsorganisation|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Behinderter|Hochschulausbildung|Arbeitsrecht|ethnische Gruppe|Verfassung|Verwaltungskontrolle|Wohnungspolitik|Bildung|Organisation des Unterrichtswesens|Wohnungspolitik|ethnische Gruppe	Arbeitsrecht|Hochschulausbildung|soziale Sicherheit|Sozialpolitik|soziale Sicherheit|Land- und Forstwirtschaft, Fischerei|Sozialpolitik|Steuerwesen|soziale Sicherheit|Sozialpolitik|Ausbildungsbeihilfe|ethnische Gruppe|Bildung|Organisation des Unterrichtswesens|Familie|Gesundheit|soziale Sicherheit|Sozialpolitik|Steuerwesen	Verfassung|Sekundarstufe|Primarstufe
2001-06-21	Steuerwesen|Strafrecht			Steuerwesen|Strafrecht
2001-06-27	Familie|Familienleistungsausgleich			Familie|Familienleistungsausgleich
2001-07-04	Arbeitsrecht	Straßen- und Brückenbau|Abfall|Abfallwirtschaft|Umwelt|Verwaltungsorganisation|Verkehr|Schienentransport|Straßen- und Brückenbau|soziale Sicherheit|Arbeitsrecht|Exekutive|Frau|Gleichbehandlung|Vereinfachung der Rechtsvorschriften|soziale Sicherheit	Gesundheit|Gesundheit|Gesundheit|Geschäftsordnung des Parlaments|Haushaltskontrolle|Unternehmensarten|Apotheke|Gesundheit|Preis|öffentliche Sicherheit|Bürgerliches Recht|Gesundheit|Exekutive|Bildung|Organisation des Unterrichtswesens|Sport|Gesetzgebungsverfahren|Post- und Fernmeldewesen|Unternehmensarten|Familie	Arbeitsrecht
2001-07-05	soziale Sicherheit|öffentliche Verwaltung|öffentlicher Dienst	Verwaltungskontrolle|Gesundheit|Wohnungspolitik|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|Ausbildungsbeihilfe|Land- und Forstwirtschaft, Fischerei|Fernsehen|Hörfunk|Fernsehen|Hörfunk|Hochschulausbildung|Hochschulausbildung	junger Mensch|soziale Sicherheit|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Sport|Notar|Rechtsanwalt|Strafrecht|Maße und Gewichte|Land- und Forstwirtschaft, Fischerei|Gesundheit|Abfall|Abfallwirtschaft|Gerichtswesen|Frau|Gleichbehandlung|öffentliche Verwaltung|öffentlicher Dienst|Ausbildungsbeihilfe|Behinderter|Fernsehen|Hörfunk|Fernsehen|Hörfunk|Fernsehen|Hörfunk|Hochschulausbildung|Hochschulausbildung	soziale Sicherheit|öffentliche Verwaltung|öffentlicher Dienst
2001-07-06	Handel|Industrie|Unternehmen und Wettbewerb|Buchprüfung	Gesundheit|Post- und Fernmeldewesen|Umwelt|Straßenverkehr	Gesetzgebungsverfahren|Land- und Forstwirtschaft, Fischerei|Arbeitsrecht|Fernsehen|Hörfunk|Presse|Verfassung|Apotheke|Gesundheit|soziale Sicherheit	Handel|Industrie|Unternehmen und Wettbewerb|Buchprüfung
2001-09-26	Beschäftigung und Arbeitsbedingungen|junger Mensch|Internationale Beziehungen|ehrende Auszeichnung|Primarstufe|öffentliche Sicherheit	Elektrizitäts- und Kernkraftindustrie|Post- und Fernmeldewesen|Wasser|Wasserbewirtschaftung|Exekutive|Parlamentsdebatte|Verkehr|direkt gewählte Kammer|Einkommen|Verwaltung und Entlohnung des Personals|soziale Sicherheit|öffentliche Sicherheit|öffentliche Sicherheit|Arbeitsrecht	Gesundheit|junger Mensch|Währungsbeziehungen|Beschäftigung und Arbeitsbedingungen|Verteidigung|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Schienentransport|Abfall|Abfallwirtschaft|Umwelt|Gesundheit|junger Mensch|Straßenverkehr|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|öffentliche Sicherheit|direkt gewählte Kammer	Beschäftigung und Arbeitsbedingungen|junger Mensch|Internationale Beziehungen|ehrende Auszeichnung|Primarstufe|öffentliche Sicherheit
2001-10-11	Straßenverkehr|Schienentransport	Straßenverkehr	Straßenverkehr	Straßenverkehr|Schienentransport
2001-10-23	Wohnungspolitik|Bibliothek|Museum|Europäische Union|soziale Sicherheit	Flüchtling|Vereinte Nationen|Europäische Union	Energie|Post- und Fernmeldewesen|Flüchtling|Parlamentsdebatte|soziale Sicherheit|Energie|Europäische Union|Strafrecht|Europäische Union|Exekutive|Misstrauensantrag|Europäische Union|Gerichtswesen|Strafrecht	Wohnungspolitik|Bibliothek|Museum|Europäische Union|soziale Sicherheit
2001-10-24	ausländischer Staatsangehöriger|Wohnungspolitik	Straßen- und Brückenbau	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gliedstaat|Währungsbeziehungen|Währungsbeziehungen|Gliedstaat|Währungsbeziehungen	ausländischer Staatsangehöriger|Wohnungspolitik
2001-11-07	Bergbau		Bergbau	Bergbau
2001-11-21	öffentliches Eigentum|Haushaltsplan|Straßenverkehr|Öffentliche Finanzen und Haushaltspolitik|Elektrizitäts- und Kernkraftindustrie|namentliche Abstimmung|Europäische Union|Europäische Union|Vereinfachung der Rechtsvorschriften|Bürgerliches Recht	junger Mensch|Verfassung|Sozialpolitik|Elektrizitäts- und Kernkraftindustrie|Bürgerliches Recht|Elektrizitäts- und Kernkraftindustrie	junger Mensch|öffentliches Eigentum|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Elektrizitäts- und Kernkraftindustrie|namentliche Abstimmung|Europäische Union|Gesundheit|Hochschulausbildung	öffentliches Eigentum|Haushaltsplan|Straßenverkehr|Öffentliche Finanzen und Haushaltspolitik|Elektrizitäts- und Kernkraftindustrie|namentliche Abstimmung|Europäische Union|Europäische Union|Vereinfachung der Rechtsvorschriften|Bürgerliches Recht
2001-11-22	öffentliches Eigentum	Land- und Forstwirtschaft, Fischerei|Europäische Union|Straßenverkehr|Hochschulausbildung|Bildung|Organisation des Unterrichtswesens	Gesundheit|Sport|Sport|Sport|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesetzgebungsverfahren|Straßenverkehr|Ausbildungsbeihilfe|Bibliothek|öffentliches Eigentum|öffentliches Eigentum|Staatswald	öffentliches Eigentum
2001-11-23		soziale Sicherheit|Schienentransport|Exekutive|Geschäftsordnung des Parlaments|Haushaltskontrolle|soziale Sicherheit|soziale Sicherheit|Behinderter|Bildung|Organisation des Unterrichtswesens|soziale Sicherheit	Frau|Gleichbehandlung|Menschenrechte|Straßenverkehr|soziale Sicherheit|Tiermedizin|Tierschutz|direkt gewählte Kammer|Exekutive|Geschäftsordnung des Parlaments|Haushaltskontrolle|Tiermedizin|Tierschutz|Gesundheit|Wohnungspolitik|soziale Sicherheit|Sozialpolitik|soziale Sicherheit	
2001-12-04	Gesundheit|Post- und Fernmeldewesen		Geschäftsordnung des Parlaments	Gesundheit|Post- und Fernmeldewesen
2001-12-06	Gesundheit|Sozialpolitik|Gesundheit	Gesundheit|Sozialpolitik	Gesundheit|Sozialpolitik	Gesundheit|Sozialpolitik|Gesundheit
2001-12-07	Verteidigung			Verteidigung
2001-12-12	Versicherungswesen|soziale Sicherheit|Land- und Forstwirtschaft, Fischerei|Sport|Menschenrechte|Finanzwesen|Wirtschaft|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie|Europäische Union|Parlamentsdebatte|Arbeitsrecht|Bauindustrie und öffentliches Bauwesen|Baupolitik|Föderalismus|Wohnungspolitik|Straßenverkehr|Bauindustrie und öffentliches Bauwesen|Baupolitik|Umwelt|Wohnungspolitik|Beschäftigung und Arbeitsbedingungen|Bauindustrie und öffentliches Bauwesen|Baupolitik|Föderalismus|Wohnungspolitik	Währungsbeziehungen|Straßenverkehr|Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Beschäftigung und Arbeitsbedingungen|Unternehmensarten|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|öffentliche Sicherheit|Verwaltungsorganisation|Unternehmensarten|Wirtschaft	Versicherungswesen|soziale Sicherheit|Land- und Forstwirtschaft, Fischerei|Sport|Menschenrechte|Finanzwesen|Wirtschaft|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie
2001-12-13	Hochschulausbildung|Gesundheit|Elektrizitätsindustrie	Hochschulausbildung|Umwelt|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz	Hochschulausbildung|Gesundheit|junger Mensch|Gesundheit|junger Mensch|Gesundheit|junger Mensch|Gesundheit|Gesundheit|Menschenrechte|Gesundheit|Sport|Sozialpolitik|soziale Sicherheit	Hochschulausbildung|Gesundheit|Elektrizitätsindustrie
2002-01-30	Arbeitsrecht|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Parlamentsdebatte	Steuerwesen|Behinderter|Sozialpolitik|Forschung und geistiges Eigentum|Tiermedizin|Tierschutz|Wissenschaften|Umwelt|Handel|Industrie|Post- und Fernmeldewesen|Unternehmen und Wettbewerb|Tiermedizin|Tierschutz|Elektrizitäts- und Kernkraftindustrie|Opferhilfe|Steuerwesen|Sozialpolitik|Verwaltungskontrolle|Straßenverkehr|Sozialpolitik|Verwaltungskontrolle	Währungsbeziehungen|Beschäftigung und Arbeitsbedingungen|Handel|Industrie|Unternehmen und Wettbewerb	Arbeitsrecht|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Parlamentsdebatte
2002-01-31	Straßen- und Brückenbau|Post- und Fernmeldewesen|Steuerwesen|ethnische Gruppe|Europäische Union|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit	ethnische Gruppe|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|Handel|Industrie|Unternehmen und Wettbewerb|ethnische Gruppe|ausländischer Staatsangehöriger|Post- und Fernmeldewesen|Straßenverkehr|ethnische Gruppe|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Europäische Union	Gliedstaat|Schienentransport|Agrarerzeugnisse und Lebensmittel|Post- und Fernmeldewesen|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Europäische Union	Straßen- und Brückenbau|Post- und Fernmeldewesen|Steuerwesen|ethnische Gruppe|Europäische Union|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit
2002-02-27	Exekutive	Behinderter|Bürgerliches Recht|Gesundheit|Fernsehen|Frau|Gleichbehandlung|Hörfunk|Forschung und geistiges Eigentum|Gesundheit|Post- und Fernmeldewesen|Wissenschaften|Behinderter|Verfassung|Behinderter|Verfassung|Behinderter|Verfassung|Umwelt|Behinderter|Beschäftigung und Arbeitsbedingungen|Gliedstaat|Behinderter|Verfassung|Behinderter|Verfassung|Handel|Industrie|Unternehmen und Wettbewerb|Exekutive|Misstrauensantrag|Arbeitsrecht|Europäische Union	Verteidigung|soziale Sicherheit|Arbeitsrecht|Agrarerzeugnisse und Lebensmittel|direkt gewählte Kammer	Exekutive
2002-02-28	Umwelt|Kulturpolitik|Kunst|Föderalismus|Straßen- und Brückenbau|Verwaltungsorganisation	öffentliche Sicherheit|Menschenrechte|Umwelt|soziale Sicherheit|Politik der Zusammenarbeit	Agrarerzeugnisse und Lebensmittel|Menschenrechte|Umwelt|Steuerwesen|Politik der Zusammenarbeit	Umwelt|Kulturpolitik|Kunst|Föderalismus|Straßen- und Brückenbau|Verwaltungsorganisation
2002-03-20	Wohnungspolitik	Zivildienst|Handel|Industrie|Unternehmen und Wettbewerb|Zivildienst|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Gesetzgebungsverfahren|partizipative Demokratie|Verfassung|Verteidigung|Gesetzgebungsverfahren|Volkszählung|Zivildienst|Opferhilfe|Strafrecht|Verteidigung	Handel|Industrie|junger Mensch|Unternehmen und Wettbewerb|Bürgerliches Recht|junger Mensch|Tiermedizin|Tierschutz|Maße und Gewichte|Gesetzgebungsverfahren|Verfassung|Verwaltungskontrolle|Land- und Forstwirtschaft, Fischerei|Wasserbewirtschaftung|Forschung und geistiges Eigentum|Wissenschaften|Opferhilfe|Strafrecht|Gesundheit|Gesundheit|Beschäftigung und Arbeitsbedingungen|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Forschung und geistiges Eigentum|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Unternehmensarten|Verkehr|Wirtschaft|Wissenschaften|Elektrizitätsindustrie|Beschäftigung und Arbeitsbedingungen|Beschäftigung und Arbeitsbedingungen|Zivildienst	Wohnungspolitik
2002-03-21	ethnische Gruppe|soziale Sicherheit|Parlamentsdebatte|Vereinte Nationen	Gliedstaat|Verfassung|Wahl|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|parlamentarischer Ausschuss|Verfassung|Umwelt	Frau|Gleichbehandlung|Opferhilfe|Bürgerliches Recht|Vereinte Nationen|Fernsehen|Hörfunk|Presse|Zivildienst	ethnische Gruppe|soziale Sicherheit|Parlamentsdebatte|Vereinte Nationen
2002-04-17	Verteidigung|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|Politische Partei|Vereinsleben|Versammlungsfreiheit	Strafrecht|Strafrecht|Notar|Rechtsanwalt	Öffentliche Finanzen und Haushaltspolitik|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Forschung und geistiges Eigentum|Straßenverkehr|Wissenschaften|Agrarerzeugnisse und Lebensmittel|öffentliche Verwaltung|öffentlicher Dienst|Statistik|öffentliche Sicherheit|Strafrecht|Vereinsleben|Versammlungsfreiheit	Verteidigung|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|Politische Partei|Vereinsleben|Versammlungsfreiheit
2002-04-18	Gliedstaat|Sport|Gerichtswesen|Steuerwesen	Internationale Beziehungen|Familienleistungsausgleich|soziale Sicherheit	Gliedstaat|Sport|Bauindustrie und öffentliches Bauwesen|Baupolitik|Sport|Verfassung|Gesetzgebungsverfahren|Verwaltungsrecht|soziale Sicherheit|Steuerwesen|soziale Sicherheit|Steuerwesen	Gliedstaat|Sport|Gerichtswesen|Steuerwesen
2002-05-22	Vereinsleben|Versammlungsfreiheit|Verwaltungsrecht	Familienleistungsausgleich|Strafrecht|Parlamentsdebatte|Steuerwesen|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit|öffentliche Sicherheit|öffentliche Sicherheit|Gliedstaat|Umwelt|Wasser|Wasserbewirtschaftung|Bildung|Organisation des Unterrichtswesens|partizipative Demokratie	Hochschulausbildung|Primarstufe|Bildung|Organisation des Unterrichtswesens|Verfassung|Vereinsleben|Versammlungsfreiheit|Ausbildungsbeihilfe|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Gliedstaat|Raumordnung|Verwaltungsorganisation|Bildung|Organisation des Unterrichtswesens|Primarstufe|Ausbildungsbeihilfe|Verwaltungsrecht|Erwachsenenbildung|Hochschulausbildung	Vereinsleben|Versammlungsfreiheit|Verwaltungsrecht
2002-05-23	Europäische Union|Land- und Forstwirtschaft, Fischerei	Straßenverkehr|Gliedstaat|Sport|Beschäftigung und Arbeitsbedingungen|Arbeitsrecht|Gesundheit|Familienleistungsausgleich|Europäische Union|Land- und Forstwirtschaft, Fischerei	Gesundheit|Gesundheit|Flüchtling|Straßenverkehr|öffentliche Sicherheit|Steuerwesen|Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Beschäftigung und Arbeitsbedingungen|Gesundheit|Europäische Union|Land- und Forstwirtschaft, Fischerei	Europäische Union|Land- und Forstwirtschaft, Fischerei
2002-05-28	Arbeitsrecht|Arbeitsrecht|Hochschulausbildung|Gesundheit			Arbeitsrecht|Arbeitsrecht|Hochschulausbildung|Gesundheit
2002-06-12	Wahl	Behinderter|Gerichtswesen|Straßenverkehr|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Gesundheit|Post- und Fernmeldewesen|Exekutive|Misstrauensantrag|Exekutive|Misstrauensantrag	Steuerwesen	Wahl
2002-06-13	Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Straßenverkehr|Sport|Handel|Industrie|Unternehmen und Wettbewerb|Finanzwesen	Museum|völkerrechtliche Verantwortlichkeit|Strafrecht|Straßenverkehr|Politik der Zusammenarbeit|Straßenverkehr	Frau|Gleichbehandlung|Sport|Beschäftigung und Arbeitsbedingungen|öffentliche Verwaltung|öffentlicher Dienst|Straßenverkehr|Bürgerliches Recht|Informatik|Information und Informationsverarbeitung|Sport|Sport|Frau|Gleichbehandlung|Sport|Straßenverkehr|öffentliche Verwaltung|öffentlicher Dienst|Straßenverkehr|Politik der Zusammenarbeit|Straßenverkehr	Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Straßenverkehr|Sport|Handel|Industrie|Unternehmen und Wettbewerb|Finanzwesen
2002-06-26	Straßenverkehr|Gesundheit|Straßenverkehr|Post- und Fernmeldewesen	Straßenverkehr	Straßenverkehr|Gesundheit|Straßenverkehr	Straßenverkehr|Gesundheit|Straßenverkehr|Post- und Fernmeldewesen
2002-06-27			Geschäftsordnung des Parlaments	
2002-07-02	Umwelt	Umwelt	Umwelt	Umwelt
2002-07-03	Elektrizitätsindustrie|Elektrizitätsindustrie		Elektrizitätsindustrie|Elektrizitätsindustrie	Elektrizitätsindustrie|Elektrizitätsindustrie
2002-07-09		Post- und Fernmeldewesen|Verwaltungskontrolle|Post- und Fernmeldewesen|Museum|völkerrechtliche Verantwortlichkeit|Straßenverkehr	Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Europarat|Gesundheit|Post- und Fernmeldewesen	
2002-07-10	junger Mensch|Strafrecht|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Umwelt|Verwaltungsorganisation|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Wirtschaft|Elektrizitätsindustrie	Strafrecht|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Verteidigung|partizipative Demokratie|Verteidigung|Land- und Forstwirtschaft, Fischerei|Strafrecht|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Wirtschaft|Europäische Union	Filmindustrie|Bildung|Organisation des Unterrichtswesens|Land- und Forstwirtschaft, Fischerei|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Wirtschaft|Europäische Union|junger Mensch|Strafrecht|Elektrizitätsindustrie	junger Mensch|Strafrecht|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Umwelt|Verwaltungsorganisation|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Wirtschaft|Elektrizitätsindustrie
2002-07-11	Filmindustrie|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Gliedstaat	Bürgerliches Recht|Gesundheit|Post- und Fernmeldewesen|Geschäftsordnung des Parlaments|Haushaltskontrolle|junger Mensch|Verwaltungskontrolle	Gesundheit|Gesundheit|Gesundheit|Presse|Europäische Union|Verwaltungsrecht|Sozialpolitik|Gesundheit|soziale Sicherheit|Arbeitsrecht|soziale Sicherheit	Filmindustrie|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Gliedstaat
