Datum	F	G	S	V
2000-03-14	Europäische Union|Hochschulausbildung|Unternehmensarten	internationales Arbeitsrecht|Europäische Union|Menschenrechte|Exekutive|Umwelt|Menschenrechte|Exekutive|Forschung und geistiges Eigentum|Wissenschaften|Beschäftigung und Arbeitsbedingungen|Exekutive|Sozialpolitik|Gesetzgebungsverfahren|Wahl|Exekutive|Handel|Industrie|Unternehmen und Wettbewerb|Exekutive|Frau|Gleichbehandlung	Internationale Beziehungen	Europäische Union|Hochschulausbildung|Unternehmensarten
2000-03-21	Strafrecht|Umwelt|Forschung und geistiges Eigentum|Wissenschaften|Hochschulausbildung	Europäische Union|Geschäftsordnung des Parlaments|Wahl|Raumordnung|Strafrecht|Umwelt|Umwelt	soziale Sicherheit|ausländischer Staatsangehöriger|Forschung und geistiges Eigentum|Wissenschaften|Strafrecht|Umwelt|Umwelt|Hochschulausbildung	Strafrecht|Umwelt|Forschung und geistiges Eigentum|Wissenschaften|Hochschulausbildung
2000-03-22	Bürgerliches Recht|Preis|Wohnungspolitik|namentliche Abstimmung|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie	Geschäftsordnung des Parlaments|Haushaltskontrolle	Strafrecht|soziale Sicherheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Menschenrechte	Bürgerliches Recht|Preis|Wohnungspolitik|namentliche Abstimmung|soziale Sicherheit|Elektrizitäts- und Kernkraftindustrie
2000-04-26	Europäische Union|namentliche Abstimmung|Parlamentsdebatte|Fernsehen|Hörfunk|Fernsehen|Hörfunk	Notar|Rechtsanwalt|Wahl|Politische Partei|Politische Partei|Religion	Land- und Forstwirtschaft, Fischerei|Familie|Europäische Union|namentliche Abstimmung|namentliche Abstimmung|Internationale Beziehungen|Notar|Rechtsanwalt|Wahl	Europäische Union|namentliche Abstimmung|Parlamentsdebatte|Fernsehen|Hörfunk|Fernsehen|Hörfunk
2000-04-27	Sozialpolitik|Strafrecht|Tiermedizin|Tierschutz	Gesundheit|Bürgerliches Recht|Gesundheit|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Verwaltungskontrolle|Menschenrechte	Gesundheit|Fernsehen|Hörfunk|Beschäftigung und Arbeitsbedingungen|junger Mensch|Gesetzgebungsverfahren|Sozialpolitik|Beschäftigung und Arbeitsbedingungen	Sozialpolitik|Strafrecht|Tiermedizin|Tierschutz
2000-05-10	Internationale Beziehungen	Umwelt|Internationale Beziehungen|Finanzwesen|Politik der Zusammenarbeit	soziale Sicherheit|Gesetzgebungsverfahren|Steuerwesen|Verfassung|Politik der Zusammenarbeit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Internationale Beziehungen	Internationale Beziehungen
2000-05-11	Sekundarstufe|Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Unternehmen und Wettbewerb|Verteidigung	ethnische Gruppe|Fernsehen|Hörfunk|Wohnungspolitik|Behinderter|Gesundheit|Behinderter	Beschäftigung und Arbeitsbedingungen|Beschäftigung und Arbeitsbedingungen|Beschäftigung und Arbeitsbedingungen|Beschäftigung und Arbeitsbedingungen|Verteidigung|soziale Sicherheit	Sekundarstufe|Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Unternehmen und Wettbewerb|Verteidigung
2000-05-12	Gesundheit		Öffentliche Finanzen und Haushaltspolitik|Frau|Gleichbehandlung|öffentliche Verwaltung|öffentlicher Dienst|Sport|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens	Gesundheit
2000-05-16	Fernsehen|Hörfunk	Exekutive|Misstrauensantrag	ethnische Gruppe|Verfassung|Bildung|Organisation des Unterrichtswesens|Internationale Beziehungen|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Schienentransport	Fernsehen|Hörfunk
2000-05-17	Abfall|Abfallwirtschaft|Handel|Industrie|Unternehmen und Wettbewerb|Berufsverband|Umwelt		Gliedstaat|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|namentliche Abstimmung|namentliche Abstimmung|Steuerwesen|Preis|soziale Sicherheit|Zivildienst|Zivildienst	Abfall|Abfallwirtschaft|Handel|Industrie|Unternehmen und Wettbewerb|Berufsverband|Umwelt
