ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,1771,06.12.2011,A(E),Aufnahme des Themas Suchtbehandlung in die Studienpläne des Medizinstudiums,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1771,ANTR,SELBST,"[""B""]","[""Bildung""]","[""BILDUNGSWESEN IV""]","[""Hochschulausbildung""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1771/imfname_237729.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1771/fname_237733.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1771/fnameorig_237733.html', 'type': 'HTML'}]"
A,1774,06.12.2011,A(E),Massentötungen von Hunden in der Ukraine,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1774,ANTR,SELBST,"[""B"",""G"",""V"",""S"",""F""]","[""Klima, Umwelt und Energie"",""Land- und Forstwirtschaft""]","[""VETERINÄRWESEN UND TIERSCHUTZ""]","[""Tiermedizin"",""Tierschutz""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1774/imfname_237794.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1774/fname_237886.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1774/fnameorig_237886.html', 'type': 'HTML'}]"
A,1783,07.12.2011,A(E),keine Flottenkilometerbegrenzungen für Heereskraftfahrzeuge,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1783,ANTR,SELBST,"[""F""]","[""Landesverteidigung""]","[""LANDESVERTEIDIGUNG""]","[""Verteidigung""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1783/imfname_237899.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1783/fname_237904.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1783/fnameorig_237904.html', 'type': 'HTML'}]"
A,1790,07.12.2011,A(E),Folter bekämpfen und Folteropfer unterstützen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1790,ANTR,SELBST,"[""V"",""S""]","[""Inneres und Recht""]","[""MENSCHENRECHTE""]","[""Menschenrechte""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1790/imfname_237960.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1790/fname_237976.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1790/fnameorig_237976.html', 'type': 'HTML'}]"
A,1792,07.12.2011,A(E),Kennzeichnung suchterzeugender Medikamente auf der Verpackung,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1792,ANTR,SELBST,"[""B""]","[""Gesundheit und Ernährung"",""Verkehr und Infrastruktur"",""Wirtschaft""]","[""GESUNDHEIT"",""HANDEL, GEWERBE UND INDUSTRIE"",""VERKEHR I""]","[""Gesundheit"",""Handel"",""Industrie"",""Straßenverkehr"",""Unternehmen und Wettbewerb""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1792/imfname_237967.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1792/fname_237991.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1792/fnameorig_237991.html', 'type': 'HTML'}]"
A,1793,07.12.2011,A(E),zwingende Fruchtbarkeitstests von männlichen Zuchttieren vor Verkauf,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1793,ANTR,SELBST,"[""B""]","[""Klima, Umwelt und Energie"",""Land- und Forstwirtschaft""]","[""VETERINÄRWESEN UND TIERSCHUTZ""]","[""Tiermedizin"",""Tierschutz""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1793/imfname_237972.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1793/fname_237983.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1793/fnameorig_237983.html', 'type': 'HTML'}]"
A,1807,18.01.2012,A(E),"ORF: Parteipolitik raus, echte Unabhängigkeit rein  - Dringlicher Antrag",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1807,ANTR,SELBST,"[""G""]","[""Information und Medien""]","[""RUNDFUNK UND FERNSEHEN"",""ANTRÄGE, DRINGLICHE""]","[""Fernsehen"",""Hörfunk"",""Parlamentsdebatte""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1807/imfname_240921.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1807/fname_241134.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1807/fnameorig_241134.html', 'type': 'HTML'}]"
A,1809,18.01.2012,A,"Zivildienstgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXIV/A/1809,ANTR,SELBST,"[""S"",""V""]","[""Landesverteidigung""]","[""ZIVILDIENST""]","[""Zivildienst""]","[{'title': 'Initiativantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1809/imfname_240923.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1809/fname_240966.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1809/fnameorig_240966.html', 'type': 'HTML'}]"
A,1812,19.01.2012,A(E),"Abhaltung eines Gipfels zum Thema ""Wie weit dürfen Bürgerrechte noch aufgeweicht werden?""",A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1812,ANTR,SELBST,"[""B""]","[""Inneres und Recht""]","[""SICHERHEITSWESEN""]","[""öffentliche Sicherheit""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1812/imfname_241149.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1812/fname_241155.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (elektr. übermittelte Version)', 'link': '/dokument/XXIV/A/1812/fnameorig_241155.html', 'type': 'HTML'}]"
A,1814,19.01.2012,A(E),Bewerbung des Ankaufs von österreichischen Staatsanleihen durch die Österreicherinnen und Österreicher,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXIV/A/1814,ANTR,SELBST,"[""B""]","[""Budget und Finanzen""]","[""KREDITWESEN""]","[""Finanzwesen""]","[{'title': 'Entschließungsantrag  (gescanntes Original)', 'link': '/dokument/XXIV/A/1814/imfname_241147.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1814/fname_241226.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag  (textinterpretierte Version)', 'link': '/dokument/XXIV/A/1814/fnameorig_241226.html', 'type': 'HTML'}]"
