Datum	A	F	G	N	S	T	V
2014-03-18		Familie|Finanzwesen|Steuerwesen|Haushaltskontrolle|Verfassung|Wohnungspolitik|Elektrizitätsindustrie|Energie|Finanzwesen|Bildung|Gliedstaat|Organisation des Unterrichtswesens	Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens	Bildung|Organisation des Unterrichtswesens|Bürgerliches Recht|Gliedstaat|Bürgerliches Recht|Finanzwesen|Gliedstaat|Gliedstaat|Verfassung|Bürgerliches Recht|Gliedstaat|Verfassung	Bürgerliches Recht|Finanzwesen|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik	Haushaltskontrolle|Bildung|Organisation des Unterrichtswesens|Bürgerliches Recht|Finanzwesen|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Verfassung	Bürgerliches Recht|Finanzwesen|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik
2014-03-26		Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|soziale Sicherheit|Wohnungspolitik|Staatswald|Europäische Union|Verfassung|Wahl|Straßenverkehr|Sozialpolitik|Gesundheit|Schienentransport|Familie|Abfall|Abfallwirtschaft|Strafrecht|Behinderter|Tiermedizin|Tierschutz|Steuerwesen|Exekutive|Misstrauensantrag|Exekutive|Misstrauensantrag	Haushaltskontrolle|namentliche Abstimmung|Behinderter|Tiermedizin|Tierschutz|Gesundheit|junger Mensch|Gesundheit	Bürgerliches Recht|Gliedstaat|Behinderter|Tiermedizin|Tierschutz|Gliedstaat|Verfassung|Fernsehen|Hörfunk|Informatik|Information und Informationsverarbeitung|Bürgerliches Recht|Finanzwesen|Bürgerliches Recht|Gliedstaat|Verfassung	Frau|Gleichbehandlung|Verfassung|Behinderter|Tiermedizin|Tierschutz	Informatik|Information und Informationsverarbeitung|Behinderter|Tiermedizin|Tierschutz|Bürgerliches Recht|Finanzwesen|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Verfassung|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik	Frau|Gleichbehandlung|Verfassung|Behinderter|Tiermedizin|Tierschutz
2014-03-27		Arbeitsrecht|Einkommen|Verwaltung und Entlohnung des Personals|Apotheke|Gesundheit|Land- und Forstwirtschaft, Fischerei|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb	Wohnungspolitik|Forschung und geistiges Eigentum|Handel|Industrie|Unternehmen und Wettbewerb|Wissenschaften|Finanzwesen|Exekutive|Einkommen|Verwaltung und Entlohnung des Personals|Verkehr|Personenstand|Behinderter|Familienleistungsausgleich|Bildung|Organisation des Unterrichtswesens|Menschenrechte|Forschung und geistiges Eigentum|Wissenschaften|Bauindustrie und öffentliches Bauwesen|Baupolitik|Finanzwesen|Flüchtling|Arbeitsrecht|Bürgerliches Recht|Sekundarstufe|Verfassung|Flüchtling|ausländischer Staatsangehöriger|öffentliche Sicherheit|Gesetzgebungsverfahren|Steuerwesen|Bauindustrie und öffentliches Bauwesen|Baupolitik|Wohnungspolitik|Behinderter|Familienleistungsausgleich|öffentliche Verwaltung|öffentlicher Dienst|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Flüchtling|ausländischer Staatsangehöriger|Opferhilfe|Strafrecht|ethnische Gruppe|Bauindustrie und öffentliches Bauwesen|Baupolitik|Steuerwesen|Menschenrechte|Wirtschaft|Steuerwesen|Wirtschaft	Öffentlicher Sektor|Familie|soziale Sicherheit|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Bürgerliches Recht|Umwelt|soziale Sicherheit|Energie|Arbeitsrecht|Kulturpolitik|Kunst|Museum|öffentliches Eigentum|Exekutive|Verfassung|Steuerwesen|soziale Sicherheit|Forschung und geistiges Eigentum|Wissenschaften|Informatik|Information und Informationsverarbeitung|Frau|Gleichbehandlung|soziale Sicherheit|junger Mensch|soziale Sicherheit|soziale Sicherheit		Umwelt|Statistik|Frau|Gleichbehandlung|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb|Tiermedizin|Tierschutz|Tiermedizin|Tierschutz|Abfall|Abfallwirtschaft	
2014-04-24		ethnische Gruppe|öffentliche Sicherheit|Bildung|Organisation des Unterrichtswesens|Bauindustrie und öffentliches Bauwesen|Baupolitik|Beschäftigung und Arbeitsbedingungen|Tabak|ethnische Gruppe|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Vereinfachung der Rechtsvorschriften|Behinderter|Sozialpolitik|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Handel|Industrie|Unternehmen und Wettbewerb|Exekutive|Misstrauensantrag|Exekutive	Strafrecht|Bildung|Forschung und geistiges Eigentum|Gliedstaat|namentliche Abstimmung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Wissenschaften|Bildung|Forschung und geistiges Eigentum|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Wissenschaften	Informatik|Information und Informationsverarbeitung|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Verwaltungsreform|Bildung|Organisation des Unterrichtswesens|Bürgerliches Recht|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Geschäftsordnung des Parlaments|Haushaltskontrolle|Beschäftigung und Arbeitsbedingungen|Bildung|Organisation des Unterrichtswesens|Bildung|Gliedstaat|Haushaltskontrolle|Organisation des Unterrichtswesens|Verwaltungsreform|Bildung|Gliedstaat|Organisation des Unterrichtswesens	Bildung|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens	Geschäftsordnung des Parlaments|Haushaltskontrolle|Bildung|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Bildung|Gesundheit|Organisation des Unterrichtswesens|Bildung|Gliedstaat|Organisation des Unterrichtswesens	Bildung|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens
2014-04-29		Gesetzgebungsverfahren|Staatsangehöriger|Energie|Steuerwesen|Europäische Union|Haushaltskontrolle|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Haushaltskontrolle|Familienleistungsausgleich	Arbeitsrecht|Einkommen|Familie|Verwaltung und Entlohnung des Personals|Beschäftigung und Arbeitsbedingungen|Strafrecht|junger Mensch|Vereinte Nationen|Verfassung|Völkerrecht|Arbeitsrecht|Bürgerliches Recht|Exekutive|namentliche Abstimmung|Politik der Zusammenarbeit|Handel|Industrie|Internationale Beziehungen|Unternehmen und Wettbewerb	Öffentlicher Sektor|Informatik|Information und Informationsverarbeitung|Informatik|Information und Informationsverarbeitung|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Tourismus|Energie|Sozialpolitik|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Tourismus|Familienleistungsausgleich	Behinderter|Familienleistungsausgleich	Beschäftigung und Arbeitsbedingungen|Frau|Gesundheit|Gleichbehandlung|Sozialpolitik|Wohnungspolitik|Gesundheit|Behinderter	Behinderter|Familienleistungsausgleich
2014-04-30		Steuerwesen|Gesundheit|Agrarerzeugnisse und Lebensmittel|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel	Internationale Beziehungen|Menschenrechte	Gesetzgebungsverfahren|Steuerwesen	Elektrizitäts- und Kernkraftindustrie		Elektrizitäts- und Kernkraftindustrie
2014-05-20		Wein|Weinbau	Sekundarstufe|Finanzwesen|Bildung|Organisation des Unterrichtswesens|Behinderter|Öffentliche Finanzen und Haushaltspolitik|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Verteidigung|Steuerwesen	Steuerwesen		Bauindustrie und öffentliches Bauwesen|Baupolitik|Beschäftigung und Arbeitsbedingungen|öffentliche Verwaltung|öffentlicher Dienst	
2014-05-21		Kulturpolitik|Kunst|Steuerwesen|Darstellende Künste|Öffentlicher Sektor|Fernsehen|Hörfunk|Kulturpolitik|Kunst|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|namentliche Abstimmung|öffentliche Verwaltung|öffentlicher Dienst|Einkommen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verwaltung und Entlohnung des Personals|Fernsehen|Hörfunk|Kulturpolitik|Kunst|Europäische Union|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Flüchtling|öffentliche Sicherheit|Energie|Exekutive|Umwelt|Verwaltungsorganisation|Darstellende Künste|Öffentlicher Sektor|Kulturpolitik|Kunst|Steuerwesen|Einkommen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verwaltung und Entlohnung des Personals|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|diplomatische Beziehungen|Steuerwesen	Zivildienst|Familie|Öffentliche Finanzen und Haushaltspolitik|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Exekutive|Misstrauensantrag|Zivildienst		Europäische Union|Öffentliche Finanzen und Haushaltspolitik|Zivilschutz	Menschenrechte|Politik der Zusammenarbeit|Steuerwesen|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Haushaltskontrolle|Verwaltungsreform	Europäische Union|Öffentliche Finanzen und Haushaltspolitik|Zivilschutz
2014-05-22		Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Frau|Gleichbehandlung|Steuerwesen|Wohnungspolitik|Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|Familie|Steuerwesen|Bildung|Organisation des Unterrichtswesens|öffentliche Verwaltung|öffentlicher Dienst|Steuerwesen|Bauindustrie und öffentliches Bauwesen|Baupolitik|Einkommen|Verwaltung und Entlohnung des Personals|Gesundheit|Verteidigung|Steuerwesen|Wohnungspolitik|Bildung|Organisation des Unterrichtswesens|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit	Arbeitsrecht|Primarstufe|Bildung|Organisation des Unterrichtswesens|Haushaltskontrolle|öffentliche Verwaltung|öffentlicher Dienst|Sekundarstufe|Primarstufe|Bildung|Organisation des Unterrichtswesens|Arbeitslosenversicherung|soziale Sicherheit|Behinderter|Öffentliche Finanzen und Haushaltspolitik		Finanzwesen|Finanzwesen	Tiermedizin|Tierschutz|Gesundheit|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit	Finanzwesen|Finanzwesen
2014-05-23		Abfall|Abfallwirtschaft|Elektrizitäts- und Kernkraftindustrie|Forschung und geistiges Eigentum|Wissenschaften|Presse|Tourismus|Forschung und geistiges Eigentum|Wissenschaften|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|soziale Sicherheit|Gesundheit|Preis|Informatik|Information und Informationsverarbeitung|Verkehr|Steuerwesen|Wirtschaft|Verwaltungsreform|Wirtschaft|Steuerwesen	Presse|Tourismus|Arbeitsrecht|Sport|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Informatik|Information und Informationsverarbeitung|Steuerwesen	Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|ausländischer Staatsangehöriger|Forschung und geistiges Eigentum|Wissenschaften|Schienentransport|Presse|Tourismus|Bürgerliches Recht|Steuerwesen|Öffentliche Finanzen und Haushaltspolitik|ausländischer Staatsangehöriger|Forschung und geistiges Eigentum|Wissenschaften|Steuerwesen|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen|Gesundheit|Strafrecht|soziale Sicherheit	Presse|Tourismus|Steuerwesen	Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Presse|Tourismus|junger Mensch|Strafrecht|Forschung und geistiges Eigentum|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Wissenschaften	Presse|Tourismus|Steuerwesen
2014-06-12		Beschäftigung und Arbeitsbedingungen|Wohnungspolitik|Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Verfassung|Agrarerzeugnisse und Lebensmittel|Behinderter|Arbeitsrecht|Einkommen|Verwaltung und Entlohnung des Personals|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Sekundarstufe|Wohnungspolitik|soziale Sicherheit|soziale Sicherheit|Steuerwesen|Gesundheit|Elektrizitäts- und Kernkraftindustrie|Bauindustrie und öffentliches Bauwesen|Baupolitik|Straßen- und Brückenbau|Gesundheit|Primarstufe|Steuerwesen|Straßenverkehr|Gesundheit|Land- und Forstwirtschaft, Fischerei|Primarstufe|Land- und Forstwirtschaft, Fischerei|namentliche Abstimmung|Öffentliche Finanzen und Haushaltspolitik|namentliche Abstimmung|Steuerwesen|soziale Sicherheit|Steuerwesen|Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Verfassung	Gesundheit|öffentliche Sicherheit|Öffentlicher Sektor|Bildung|Organisation des Unterrichtswesens|Gesundheit|junger Mensch|Gesundheit|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Umwelt|Umwelt|Steuerwesen|Behinderter|Bildung|Organisation des Unterrichtswesens|Vereinte Nationen|Behinderter|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens	Bürgerliches Recht|Gesetzgebungsverfahren|Finanzwesen|Straßenverkehr|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Bauindustrie und öffentliches Bauwesen|Baupolitik|Straßenverkehr|Gesundheit|Arbeitsrecht|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Bürgerliches Recht|Bürgerliches Recht|Bildung|Organisation des Unterrichtswesens|Beschäftigung und Arbeitsbedingungen|Flüchtling|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens	Familienleistungsausgleich|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Bauindustrie und öffentliches Bauwesen|Baupolitik|Straßenverkehr|internationales Arbeitsrecht|Handel|Industrie|Unternehmen und Wettbewerb|direkt gewählte Kammer|Wasserbewirtschaftung	Agrarerzeugnisse und Lebensmittel|Bildung|Organisation des Unterrichtswesens|Straßenverkehr|Gesundheit|Wirtschaft|direkt gewählte Kammer|Exekutive|Gerichtswesen|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Bauindustrie und öffentliches Bauwesen|Baupolitik|Agrarerzeugnisse und Lebensmittel|Bauindustrie und öffentliches Bauwesen|Baupolitik|Beschäftigung und Arbeitsbedingungen|öffentliche Verwaltung|öffentlicher Dienst|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit	Familienleistungsausgleich|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Bauindustrie und öffentliches Bauwesen|Baupolitik|Straßenverkehr|internationales Arbeitsrecht|Handel|Industrie|Unternehmen und Wettbewerb|direkt gewählte Kammer|Wasserbewirtschaftung
2014-06-25		Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Finanzwesen|Verfassung|Verwaltungskontrolle	Straßenverkehr|Öffentlicher Sektor|Arbeitsrecht|Gesetzgebungsverfahren|Verfassung|Verwaltungskontrolle	ethnische Gruppe|Verfassung|Bürgerliches Recht|Darstellende Künste|Arbeitsrecht|Kulturpolitik|Kunst|Menschenrechte|Verfassung|Verwaltungskontrolle|Gliedstaat|Bürgerliches Recht|Gliedstaat|Verfassung|Bürgerliches Recht|Gliedstaat|Bürgerliches Recht|Finanzwesen		Bürgerliches Recht|Finanzwesen|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Verfassung	
2014-07-08		Wohnungspolitik|Preis|Strafrecht|Exekutive|Verwaltungsorganisation|Verwaltungsreform|öffentliche Sicherheit|Steuerwesen|Preis|ausländischer Staatsangehöriger|Strafrecht|Menschenrechte|Strafrecht|Exekutive|Verwaltungsreform|Frau|Gleichbehandlung|Menschenrechte|Land- und Forstwirtschaft, Fischerei	Frau|Gleichbehandlung|Menschenrechte|Hochschulausbildung|soziale Sicherheit|öffentliche Sicherheit|Sekundarstufe|ausländischer Staatsangehöriger|Agrarerzeugnisse und Lebensmittel|öffentliche Sicherheit|Finanzwesen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Informatik|Information und Informationsverarbeitung|Informatik|Information und Informationsverarbeitung|Menschenrechte|Strafrecht|Bürgerliches Recht|Gliedstaat|Informatik|Information und Informationsverarbeitung|Steuerwesen|Frau|Gleichbehandlung|Menschenrechte|Finanzwesen	Arbeitsrecht|Steuerwesen|Straßenverkehr|Bildung|Organisation des Unterrichtswesens|Straßenverkehr|Hochschulausbildung|Menschenrechte|Strafrecht|Frau|Gleichbehandlung|Menschenrechte	Menschenrechte|Strafrecht|Frau|Gleichbehandlung|Menschenrechte	Menschenrechte|Strafrecht|Frau|Gleichbehandlung|Menschenrechte	Menschenrechte|Strafrecht|Frau|Gleichbehandlung|Menschenrechte
2014-07-09		Behinderter|Bildung|Organisation des Unterrichtswesens|soziale Sicherheit|Gesundheit|Wohnungspolitik|Elektrizitätsindustrie|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|junger Mensch	Wahl|Gesundheit|Behinderter|Energie|Umwelt|Arbeitslosenversicherung	Gesundheit|Gesundheit	Energie|Umwelt	Gesundheit|Gesundheit|Fernsehen|Hörfunk|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|junger Mensch|Straßenverkehr	Energie|Umwelt
2014-07-10		Frau|Gleichbehandlung|Menschenrechte|Straßenverkehr|junger Mensch|Frau|Gleichbehandlung|Menschenrechte|Straßenverkehr|Straßenverkehr|Elektrizitäts- und Kernkraftindustrie|Informatik|Information und Informationsverarbeitung|Verfassung|Wasserbewirtschaftung|Finanzwesen|Bildung|Gliedstaat|Organisation des Unterrichtswesens|Frau|Gleichbehandlung|Menschenrechte|Familie	Elektrizitäts- und Kernkraftindustrie|Menschenrechte	Strafrecht|Bildung|Organisation des Unterrichtswesens|Straßenverkehr|Arbeitsrecht|Gesetzgebungsverfahren|Strafrecht|Elektrizitäts- und Kernkraftindustrie|Menschenrechte|Bildung|Organisation des Unterrichtswesens|Strafrecht|Familie|Bildung|Familie|Gliedstaat|Organisation des Unterrichtswesens	Elektrizitäts- und Kernkraftindustrie|Frau|Gleichbehandlung|Opferhilfe|Strafrecht	Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie|Frau|Gleichbehandlung|Opferhilfe|Strafrecht
2014-09-02		Ausweis|Behinderter|Hochschulausbildung|Bauindustrie und öffentliches Bauwesen|Baupolitik|Bildung|Organisation des Unterrichtswesens|Exekutive|Misstrauensantrag	Öffentliche Finanzen und Haushaltspolitik|Zivilschutz|Bildung|Organisation des Unterrichtswesens|diplomatische Beziehungen|Internationale Beziehungen|Menschenrechte|Strafrecht|Verkehr|Bildung|Organisation des Unterrichtswesens|junger Mensch		Europäische Union|Flüchtling|Menschenrechte	Steuerwesen|Gesundheit	Europäische Union|Flüchtling|Menschenrechte
2014-09-23		Geschäftsordnung des Parlaments|Haushaltskontrolle|Land- und Forstwirtschaft, Fischerei|Exekutive|Neutralität|Verfassung|Arbeitslosenversicherung|Land- und Forstwirtschaft, Fischerei	Fernsehen|Hörfunk|Arbeitslosenversicherung|soziale Sicherheit|Post- und Fernmeldewesen|Umwelt|soziale Sicherheit|Wohnungspolitik	Fernsehen|Hörfunk	Arbeitsrecht|Bürgerliches Recht|Internationale Beziehungen	Europäische Union|Handel|Industrie|Internationale Beziehungen|Parlamentsdebatte|Steuerwesen|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb	Arbeitsrecht|Bürgerliches Recht|Internationale Beziehungen
2014-09-24		Steuerwesen|Wirtschaft|Gesundheit|soziale Sicherheit|Finanzwesen|öffentliche Sicherheit|Frau|Gleichbehandlung|Politische Partei|Frau|Gleichbehandlung|Politische Partei|Primarstufe|Wasserbau|ausländischer Staatsangehöriger|Grenze|Preis|Darstellende Künste|Haushaltskontrolle|Beschäftigung und Arbeitsbedingungen|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Bürgerliches Recht|Wohnungspolitik|Energie|Preis|Verwaltungsreform|Wirtschaft|Arbeitslosenversicherung|Land- und Forstwirtschaft, Fischerei|Primarstufe|öffentliche Sicherheit|öffentliche Sicherheit|Luftverkehr|ausländischer Staatsangehöriger|Grenze|Frau|Gleichbehandlung|junger Mensch|Strafrecht	Bergbau|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb	Steuerwesen|Bildung|Organisation des Unterrichtswesens|Bergbau|öffentliche Verwaltung|öffentlicher Dienst|Fernsehen|Hörfunk|Verfassung|öffentliche Verwaltung|öffentlicher Dienst|Hochschulausbildung|Bürgerliches Recht|Steuerwesen|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Gliedstaat|Verfassung|Sekundarstufe|Handel|Industrie|Unternehmen und Wettbewerb|Familie|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Gliedstaat|Familie|Informatik|Information und Informationsverarbeitung|Öffentliche Finanzen und Haushaltspolitik|Primarstufe|Informatik|Information und Informationsverarbeitung|Bildung|Familie|Organisation des Unterrichtswesens|Finanzwesen|Bildung|Organisation des Unterrichtswesens|Steuerwesen|Wohnungspolitik|Steuerwesen|Bildung|Familie|Organisation des Unterrichtswesens|Finanzausgleich|Verfassung|Gliedstaat|Gliedstaat|Verfassung|Steuerwesen|Exekutive|Finanzausgleich	Personenstand|Verwaltungsreform|Bergbau|Wasser|Wasserbewirtschaftung|Preis|Darstellende Künste|Haushaltskontrolle|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb	Tiermedizin|Tierschutz|Bergbau|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Informatik|Information und Informationsverarbeitung|Arbeitsrecht|soziale Sicherheit|öffentliche Sicherheit|Bildung|Gesundheit|Organisation des Unterrichtswesens|Fernsehen|Hörfunk|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|soziale Sicherheit|Strafrecht|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Strafrecht	Personenstand|Verwaltungsreform|Bergbau|Wasser|Wasserbewirtschaftung|Preis|Darstellende Künste|Haushaltskontrolle|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb
2014-10-09		Internationale Beziehungen	Internationale Beziehungen		Internationale Beziehungen	Internationale Beziehungen	Internationale Beziehungen|Internationale Beziehungen
2014-10-16		Einkommen|Verwaltung und Entlohnung des Personals|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Exekutive|Misstrauensantrag|Verteidigung	Primarstufe|Familie|Gesetzgebungsverfahren|Forschung und geistiges Eigentum|Wirtschaft|Wissenschaften|Gesundheit|Verteidigung	Verteidigung|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung	Steuerwesen|Finanzwesen	Tiermedizin|Tierschutz|soziale Sicherheit|Straßenverkehr|Sport|Öffentliche Finanzen und Haushaltspolitik|Verteidigung	Steuerwesen|Finanzwesen
2014-10-22		Bildung|Organisation des Unterrichtswesens|Einkommen|soziale Sicherheit|Sozialpolitik|Steuerwesen|Verwaltung und Entlohnung des Personals|Statistik|Tourismus|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Verwaltungskontrolle|Verfassung|direkt gewählte Kammer|Verfassung|soziale Sicherheit|Tourismus|Strafrecht|Bergbau|Gliedstaat|öffentliche Sicherheit|Grenze|Personenstand	Einkommen|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals|Gesundheit|Statistik|Gesundheit|Statistik|Tourismus|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Gesetzgebungsverfahren|Arbeitslosenversicherung|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Vereinte Nationen|Gesundheit|Verfassung|Verwaltungskontrolle|Verfassung|Arbeitsrecht|Bildung|Organisation des Unterrichtswesens|Sport|Familie|direkt gewählte Kammer|Verfassung|Staatsangehöriger|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Vereinte Nationen|Land- und Forstwirtschaft, Fischerei|Umwelt|Bergbau|Personenstand	soziale Sicherheit|Steuerwesen|Hochschulausbildung|Handel|Industrie|Unternehmen und Wettbewerb|Verwaltungsreform|soziale Sicherheit|Raumordnung|Arbeitsrecht|Statistik|Tourismus|Handel|Industrie|Unternehmen und Wettbewerb|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Verwaltungskontrolle|Verfassung|Elektrizitätsindustrie|Energie|Hochschulausbildung|soziale Sicherheit|soziale Sicherheit|direkt gewählte Kammer|Verfassung|Forschung und geistiges Eigentum|Wissenschaften|soziale Sicherheit|soziale Sicherheit|Arbeitsrecht|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Bergbau|soziale Sicherheit|Exekutive|Hochschulausbildung|Verwaltungsorganisation|Personenstand	Straßenverkehr|Statistik|Tourismus|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|direkt gewählte Kammer|Verfassung|Personenstand	Straßenverkehr|öffentliche Sicherheit|Statistik|Tourismus|Abfall|Abfallwirtschaft|Elektrizitäts- und Kernkraftindustrie|ausländischer Staatsangehöriger|öffentliche Sicherheit|Personenstand	Straßenverkehr|Statistik|Tourismus|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|direkt gewählte Kammer|Verfassung|Personenstand
